100000 100000
1 178993494 866547858
1 513298970 366957369
1 727139325 494178776
1 305666823 561410537
1 595383813 489433718
1 828737830 810752946
1 531278651 110766778
1 567360051 792984477
1 293014445 513774544
1 262044207 835510699
1 986934052 236922536
1 744553362 321144065
1 116141572 514722637
1 690124158 357546059
1 632444092 236780172
1 216978448 329542930
1 237121414 717439913
1 912276528 745850163
1 869183191 971102821
1 595057694 303318979
1 287423942 836449669
1 66246612 803257316
1 717176418 551325293
1 264015434 399163114
1 573517199 196955857
1 7441918 108221456
1 511542355 115321544
1 74858040 299618294
1 767712201 650189609
1 396632364 410901460
1 414888897 158290070
1 487834555 735780217
1 652145439 999342632
1 188882139 354258485
1 483944010 919383459
1 708193553 47652175
1 117512436 932513768
1 978757926 259726262
1 56204992 891979511
1 191403639 137941114
1 678383271 596953774
1 119562313 586584646
1 78916609 354037264
1 653529034 276598611
1 61741796 252742449
1 835053211 726662710
1 594904519 669368979
1 38626613 95896806
1 613263403 136970846
1 878902208 316885790
1 115461842 389445253
1 699310912 140497953
1 96507814 95149922
1 605321508 8549117
1 180224093 74388781
1 843770688 64927006
1 632083456 618021861
1 331575873 868612124
1 171017777 755636931
1 473595913 945092587
1 347866291 931244281
1 186572122 391529834
1 765408370 791429060
1 52882224 880792557
1 941131769 30076359
1 585400872 2847375
1 494319264 202618383
1 12116836 222673343
1 343234098 594409244
1 445842537 705074976
1 756933730 885053860
1 283406671 97190451
1 46931547 90485489
1 176335894 149937598
1 900282 98654045
1 869763307 983694198
1 30463829 904466017
1 701882260 407470849
1 451568743 308655103
1 176222224 179948133
1 156373868 448594126
1 232050261 238433675
1 490370489 762055084
1 721084200 11929379
1 581426427 983364739
1 516213577 960633337
1 785053065 247336287
1 256674467 780603693
1 723215420 324121920
1 956738920 700963351
1 939452867 877541503
1 969837815 663275975
1 460293237 705316343
1 809497674 711481751
1 91505618 922587630
1 776556042 319275075
1 682706000 234616079
1 202899311 72172188
1 561148750 626347273
1 92535396 464240144
1 522619569 251958531
1 31584387 410331500
1 965951741 567518245
1 456405187 783369403
1 223319681 325442189
1 523704646 161494847
1 84989825 933320676
1 57616249 634150724
1 254876675 275379538
1 705248657 151930406
1 503452175 228114623
1 205510920 868328064
1 978256992 223441690
1 771109799 771560726
1 678981797 66445668
1 45282608 648560196
1 723795037 121305182
1 709924213 277105159
1 498772638 36031203
1 71060020 304848408
1 659890597 175710671
1 342862572 792622703
1 396592508 888525315
1 691092461 244923982
1 837165092 713824678
1 571505229 741514419
1 491838093 451250326
1 984465895 349775708
1 97082158 158214942
1 428174501 904115788
1 102033882 629977977
1 446301150 616027657
1 938014588 533727889
1 124680266 143148346
1 45175166 635761080
1 538396838 487051455
1 527802322 666163744
1 224273285 320279088
1 77039182 450849889
1 701836866 792017538
1 563247081 385774391
1 245708589 13202142
1 197076098 631173990
1 548900864 580052314
1 839419880 309846017
1 899054424 505742454
1 959413989 209186378
1 13183411 175751614
1 527543284 252974303
1 587721487 557739456
1 171622050 174235007
1 247806818 711377171
1 615013330 483222877
1 211016541 852481968
1 386887172 625195266
1 960394340 860581528
1 524683942 588137190
1 516477019 300357159
1 746949139 932262458
1 798297779 305923775
1 511630183 236941671
1 999550642 830553260
1 929862618 755500085
1 571317259 729786276
1 207483340 452031230
1 356127634 400220449
1 355330337 677930230
1 82174296 857365007
1 707886195 176853563
1 386038229 389395794
1 284578003 249393130
1 807037394 163745084
1 669678178 319343719
1 976402429 473077476
1 54192780 870944288
1 821650881 166506757
1 438465947 73756950
1 750585456 770816514
1 678145133 889535702
1 536435772 532648476
1 146830594 116061533
1 36142262 498103911
1 542753397 338789501
1 304954962 127559523
1 99548868 21042041
1 448099892 782713393
1 999122821 82616654
1 159161846 416005207
1 992835319 428247821
1 632727756 63858795
1 6008215 634295252
1 333498194 964806466
1 124991358 283725718
1 134339455 630885766
1 802758152 463990210
1 186078292 681663612
1 675384007 373426185
1 879696927 788826141
1 61188358 334023149
1 754285363 678127700
1 581863501 532311447
1 733727013 898806417
1 131134657 661958377
1 617957493 573646537
1 709683065 312076595
1 388086664 664725909
1 699337316 377248559
1 374141028 356139180
1 17869100 825736767
1 134937711 155377545
1 280792059 43541732
1 870879795 775660260
1 202120059 860185706
1 650202483 556335845
1 415676227 299022076
1 344719894 589357430
1 649140586 681880720
1 781200037 706982679
1 827916832 44625089
1 694545894 304713944
1 451273550 789797293
1 313202838 517679469
1 685882217 77687670
1 211457150 667862843
1 324756860 432598993
1 793894663 464680808
1 761077361 807583373
1 650950731 40216677
1 54504490 228929808
1 562350116 135847743
1 678532354 748086686
1 341358782 288227937
1 981859822 853684806
1 327851977 912622884
1 531936715 78925122
1 257646050 930129998
1 336867928 765350982
1 6410657 162708427
1 595580505 293247446
1 221142578 242094067
1 205650537 67387336
1 578675121 986805031
1 535700186 261577878
1 379692161 105213268
1 808968620 409605761
1 52574808 447492648
1 275411481 13501882
1 797908253 201611234
1 686149001 912053995
1 363866200 613280391
1 616075261 358249440
1 181020391 572867385
1 858487953 457380456
1 121314533 764353706
1 124802393 48253188
1 639695277 848362235
1 170207955 236881881
1 455849423 32578443
1 715902795 974885071
1 163852621 796965693
1 37676269 510355796
1 228113620 440280023
1 142909271 782378929
1 47938214 977152229
1 53667564 47616408
1 120946260 662735267
1 312782526 43430273
1 719850171 746440446
1 838817343 920424893
1 546825383 57181499
1 935249282 94848759
1 543993507 60986870
1 276469328 612867235
1 418379279 632060453
1 222380363 925215161
1 791996604 776257900
1 725474455 784501166
1 675471942 58371152
1 791594248 663332971
1 734683682 590651702
1 953647152 277226103
1 175394735 157242392
1 957822156 579557980
1 696343242 447970722
1 985943959 569277239
1 3167232 692060696
1 764131417 804516459
1 163146486 459351561
1 674418753 537292805
1 332725816 75372724
1 861753709 864871795
1 22306621 683698078
1 14026018 98040512
1 515545948 831716038
1 311135690 134861385
1 620244769 568210045
1 116753681 272041787
1 28286185 250498817
1 688611613 706006008
1 520647196 314540225
1 27686550 116873029
1 563909528 575081463
1 692909330 716270207
1 592633637 157360851
1 910603057 537110477
1 593279309 478773342
1 920393616 730794771
1 640530810 858779837
1 560340413 925529196
1 652326043 739786766
1 926778376 458252319
1 279691683 729391476
1 952450497 492398341
1 418422673 213899764
1 805830289 203284172
1 750319978 603895062
1 559202498 920923192
1 865284219 865589827
1 607321086 255718211
1 852993810 459115876
1 783382482 880113795
1 951177968 372818486
1 366124985 921974240
1 546699316 440362146
1 739428004 871576617
1 853589413 86502331
1 928001308 891739042
1 705990115 728713130
1 668046859 819052697
1 292218693 24472562
1 451004236 203899120
1 535019847 564538540
1 875123410 876632145
1 791346414 792954227
1 254163608 382785773
1 960850406 728726780
1 722049344 846213989
1 878032209 727198126
1 384532187 54173086
1 112733802 636433560
1 680365326 342592385
1 197419797 965272142
1 105731344 850701117
1 954056376 712602930
1 815411923 535038354
1 718172943 120051792
1 391493699 92188332
1 224538893 489385450
1 687093901 760602766
1 370911663 560271378
1 765325643 194014949
1 554414142 106940261
1 849099794 791403443
1 904318981 147343848
1 12002568 11181205
1 560080476 851735331
1 123407912 440552560
1 651137517 91583107
1 700206210 155385910
1 954238244 267269690
1 7464566 902909236
1 712566863 387945700
1 639203507 380139855
1 835948574 742643122
1 698190991 438317107
1 939731293 114596344
1 329407053 924476383
1 310855401 511990034
1 339395174 291101564
1 140488415 542736361
1 11058909 976468499
1 488429033 137237375
1 95362756 739039430
1 89042753 331404868
1 987336135 552280576
1 862158469 225222174
1 614739268 172030137
1 842781716 623143778
1 543949484 321092309
1 248339457 280527678
1 902425456 535123878
1 940339669 956658610
1 218731111 514757491
1 709967792 802515990
1 896122508 828175545
1 823691492 103317482
1 433722191 9366219
1 876236578 258293898
1 72577626 41448686
1 26240818 588259069
1 7004833 204584802
1 43577958 915795057
1 408504761 234298668
1 188868516 125296724
1 171178102 509756981
1 963754098 138954343
1 999536745 242481312
1 958922303 889859433
1 542576754 664917894
1 465442407 555092075
1 942327638 801693819
1 544701874 874587735
1 427438623 628137546
1 967476473 778390274
1 208905845 92257717
1 686444589 792055639
1 804706949 650661615
1 431857052 519724682
1 244148373 707939241
1 94614159 42271533
1 204885193 89152610
1 579297815 715004854
1 322023231 585652977
1 459648714 817257939
1 371174064 675477691
1 889472932 737901357
1 789459829 297374837
1 969762461 544284944
1 710585281 443235378
1 841999239 711459790
1 585334865 100489148
1 559014212 110905459
1 653267365 173695022
1 11507505 133108305
1 49791461 473946344
1 308929 335675918
1 689311233 372596044
1 70850983 879509421
1 69971565 338538046
1 967773003 112697621
1 15420028 904846465
1 321266991 553407757
1 945358953 563902565
1 583093937 91917898
1 293894747 276624729
1 143967733 37575518
1 437138946 245687613
1 711591166 376296819
1 550978534 346735074
1 515301118 657320453
1 49870531 448370765
1 802438043 171864119
1 467292773 441938732
1 648702247 111673157
1 758227141 355597489
1 370062732 531695012
1 815126693 829123616
1 479766906 434273235
1 678639535 401994106
1 488197053 385833162
1 549976258 474330096
1 762529911 450787459
1 600303796 427725766
1 411203387 492949263
1 550105102 492327557
1 70598191 132822993
1 840267847 322220435
1 982678018 720203096
1 869444534 275548750
1 523514683 470775422
1 550581299 905835948
1 43997973 739557643
1 212455035 259446862
1 790628936 619203363
1 982119471 715616833
1 103814796 851533586
1 235286010 727554521
1 265011829 965704703
1 357367027 548840708
1 660540368 4488564
1 676108931 819805618
1 808670247 689818044
1 565527023 843032517
1 329176829 350068909
1 280713875 84008313
1 70155516 721192365
1 419497993 106933828
1 764435503 620322567
1 163157221 639774706
1 583091591 845467254
1 464160286 126815829
1 392003190 710763912
1 882192224 570588458
1 822153085 810093375
1 889997709 760872386
1 840006188 219484916
1 126558928 860070944
1 638811857 33107824
1 484312794 882106628
1 618229334 847510930
1 649665423 119903013
1 568841682 72436577
1 870964892 58401892
1 804363687 323908122
1 156021316 172725025
1 600891276 357062469
1 861565852 2526490
1 413816475 461446339
1 979953965 827179490
1 406942254 536025861
1 308112957 871395382
1 314497731 806109650
1 777092490 745422023
1 605140783 118587689
1 670164547 51296561
1 987033925 915488047
1 969356883 963165017
1 206633785 412967296
1 484564516 610809566
1 926625365 241101511
1 19872766 934591455
1 43050935 441032662
1 3304735 855589970
1 761163130 308640731
1 186036426 125505397
1 305116987 703230051
1 997175424 564969980
1 152101073 650172559
1 999457135 258981111
1 99081745 760040368
1 106095033 727792621
1 274011172 893807214
1 212884122 235682552
1 275641281 373761766
1 290532886 755885371
1 6357160 56562926
1 687434924 256746808
1 509250363 248517646
1 315446751 369398192
1 257192621 899283383
1 551667222 184096055
1 51000423 318134208
1 113812302 582913884
1 262998939 701822247
1 86000041 146194656
1 478738057 322277268
1 3312299 982718118
1 617272697 801698400
1 631178402 793669881
1 730348273 739876637
1 708206421 470946073
1 976321353 903411722
1 491403765 593950571
1 806832411 220584519
1 870566642 600443661
1 463193696 268228297
1 943018021 667542665
1 693206754 420108081
1 930537044 205675985
1 302939157 962168309
1 709693428 693268958
1 695006487 810470976
1 153785351 40545494
1 903238526 960984417
1 400653525 68056261
1 88549399 43581622
1 346972268 144806671
1 762102040 56515572
1 30130941 397563273
1 239909306 121879101
1 401770048 653589146
1 637214028 948199585
1 277386493 995273861
1 892956619 306170297
1 730190056 228207165
1 551605430 938536489
1 835482350 349267295
1 977205446 84482313
1 880274713 555235786
1 711973789 364590639
1 497708549 538777978
1 130365561 413642365
1 970476202 448206627
1 51956411 146017573
1 865703289 466448376
1 729106999 352620989
1 191302130 431879351
1 235331661 347327231
1 562574734 616035175
1 725609687 909861743
1 716126124 433408280
1 411541682 529200965
1 900502457 427534390
1 341243858 504183916
1 582324909 51766184
1 46121757 719751910
1 543784212 838333099
1 530795608 227692596
1 283297108 196227335
1 637014656 892321675
1 256001946 7940059
1 182361573 491793142
1 263406204 104274161
1 377805429 459679602
2 218207912 665791555
1 400729403 343337807
1 850855042 20064099
1 744557826 396170513
1 16242466 256702893
1 621719247 372936605
1 299191013 244137864
1 665853262 251468495
1 638867396 819068150
1 695470786 816988259
1 133433775 441507535
1 601180551 923940100
1 280838961 38845068
1 312806942 99284916
1 837059702 297040017
1 774226291 610834242
1 553951527 921704544
1 84322337 13794586
1 325261919 124169596
1 641674614 109845911
1 978916631 779597550
1 792059511 40557271
1 14593149 453919485
1 111637210 533364639
2 66581840 202004793
1 429232296 502607177
1 96563345 235480861
1 301350132 818207476
1 671620641 547043233
1 65869702 118003309
1 864578687 99636807
1 759336872 826977230
1 765507949 110548244
1 378764583 547795351
1 80515727 899083235
1 497504939 411672002
1 560609334 943295727
1 369334836 975827400
1 37238245 383915947
1 76467065 779719127
1 34371524 802081403
1 420318936 19620947
1 549727419 794081739
1 187427526 528897911
1 787012372 965154331
1 968248964 522239560
1 295491748 140595350
1 392743631 270453917
1 79103563 201205848
1 445366868 300440681
1 696797339 637528060
1 74668047 815416081
1 527094700 303557603
1 751976446 319843905
1 57158836 181839952
1 176393273 114306451
1 885923264 1151975
1 137798487 784778121
1 778798527 354014824
1 973220254 322848357
1 686709467 741871469
1 562528541 194174493
1 1171820 160404495
1 339359375 689427771
1 175692791 78723712
1 42041414 653882391
1 204891302 984805151
1 982909886 322241278
1 214132851 895718032
1 873456236 773726138
1 763243434 705550285
1 119930101 325546621
1 303496539 385647926
1 711258813 232890889
1 204570581 889414598
1 68377586 904293913
1 623876314 474044744
1 536483761 546221021
1 177829258 626586229
1 689626583 377716200
1 367964373 417292229
1 743738709 307151554
1 81381654 981859286
1 914341472 737120550
1 593162668 458850280
1 135804187 833337795
1 16982849 608396670
1 613037486 841972543
1 272007089 777944007
1 264522909 545382273
1 896040058 235416973
1 975211408 575918930
1 741193740 838035580
1 549713722 356854838
1 476471114 83493335
1 311245799 630958279
1 924016639 493400216
1 483541817 809198071
1 921392451 338345440
1 730713690 438989215
1 772675045 515867906
1 707138013 694081993
1 320448787 41260080
1 36120675 928269780
1 420224429 431241798
1 566510678 549957995
1 809851993 431091665
1 217013517 918947613
1 930853245 432120320
1 224448983 332773149
1 249242397 423854729
1 481435974 569011700
1 956881920 956880704
1 996866223 810679714
1 321262598 479574606
1 141812657 885961676
1 824244455 807032035
1 121165303 49223674
1 434307695 112513712
1 744309100 303778503
1 102149667 782997894
1 516864053 362786656
1 640155706 203879272
1 46080012 18143695
1 93164148 87235351
1 561779548 490751024
1 792679452 722487423
1 558734632 499950271
1 780084735 289454788
1 555068802 165371224
1 366477385 402310099
1 224319591 98544030
1 58510990 994182251
1 968301165 606603189
1 635633134 147917891
1 448699435 476319428
1 326212148 121820645
1 415481959 535948516
1 66050794 659627837
1 453075471 655407413
1 942003710 6908286
1 725431478 855165305
1 846067965 20555899
1 47444432 475114165
1 122604747 974143934
1 191013244 664518221
1 85575397 37611045
1 744227738 83811016
1 46560507 296867150
1 608522894 127152444
1 824470623 313270317
1 572505149 12795614
1 639590304 84081024
1 979491319 493939109
1 879620062 289934664
1 184891992 863850913
1 819210751 957431140
1 977083882 41356165
1 9712079 815133159
1 668620227 511209016
1 522878943 523311477
1 417714375 401458582
1 948566387 429649559
1 433545847 986014836
1 296622294 814329149
1 479174680 425170510
1 7388754 421715530
1 89814354 976327484
1 915359501 667264777
1 873514269 749086769
1 857008893 368622800
1 963459295 626651263
1 462369964 456150102
1 334716737 117505844
1 214723511 85522417
1 529016434 389886236
1 545612797 359106489
1 581792530 694006919
1 174619486 367039400
1 105738914 623425038
1 227478812 508480202
1 491422895 122489903
1 955264497 335634685
1 498634061 61472633
1 685740603 845064819
1 584182916 67035128
1 998610028 54039291
1 48981047 176693637
1 407917783 106377657
1 831371150 119289246
1 834892761 177463207
1 865603008 928509256
1 35520617 580513209
1 380655524 116586033
1 112468938 479831606
1 288671658 538997433
1 325696907 52099746
1 755185759 778697743
1 602657841 130433013
1 681184675 435510568
1 777459320 113777823
1 380458226 302587263
1 941630278 173087603
1 281593991 489227327
1 58223063 95455387
1 14320833 965050345
1 778330116 864344313
1 578340568 658940054
1 476952947 739209625
1 407604436 134921922
1 412112421 738698172
1 396466047 556073866
1 811446912 467091534
1 828767141 510404345
1 288407579 188567552
1 822822186 170772000
1 336692763 175857896
1 433125278 359962594
1 921349005 755632165
1 668805848 483457516
1 985685644 729765750
1 326369266 407997802
1 257394046 782644642
1 545345807 166772853
1 442264393 696750884
1 361111826 417673160
1 359715299 361542566
1 276487775 568400895
1 88551043 864190908
1 227833372 25119181
1 399888946 102678890
1 170929972 634403365
1 215149344 445541638
1 263156895 2083670
1 351524751 141955738
1 5571605 738641923
1 677689199 462082483
1 618176638 961849258
1 985274861 61165388
1 129455103 936938866
1 434162496 967121413
1 449722884 143052526
1 843255610 145429295
1 175776927 492797464
1 203208964 627037796
1 956727260 150488662
1 589362423 12641975
1 536725744 111240586
1 976806262 463342697
1 107391322 832663952
1 408306434 988962651
1 743559790 595027215
1 909659438 503070051
1 3121376 359832413
1 520930164 775416107
1 300010850 783731372
1 367840351 834843191
1 5082101 101482783
1 47838591 302788468
1 764456657 975857845
1 324187815 251572844
1 288086575 88420618
1 112336038 186643531
1 820632364 228160714
1 726344465 19868638
1 494513890 326213918
1 812613067 739305796
1 666641465 820915856
1 39881759 863782805
1 608392496 876015483
1 335337498 20239158
1 473233048 495892895
1 519081881 923578431
1 286994275 264508763
1 351851628 193326536
1 7511096 123412455
1 80580012 39059005
1 267947700 123786141
1 407846024 47807791
1 795606730 529124888
1 207286977 446725583
1 510999466 580920709
1 318729366 60238744
1 621586283 640199373
1 370584418 502715604
1 628613154 274714616
1 59950640 6533193
1 92481171 700364216
1 22396028 600404371
1 46184665 422541597
1 145730664 163912268
1 698825817 577440876
1 315317259 340509795
1 591380420 776400624
1 704960436 395745931
1 231720015 923418672
1 692530989 799943961
1 576434516 836178795
1 400544432 736518926
1 277294448 241252124
1 973466850 172420035
1 76165465 212716643
1 549322535 224625870
1 521195664 149728735
1 338686073 110659292
1 89136642 116418713
1 628840245 150970828
1 2375240 704426543
1 806502484 117952371
1 588227189 467138382
1 434999479 794887743
1 459214746 758987282
1 650845542 626810223
1 992375881 503429365
1 647648754 585485482
1 934975327 992475790
1 434310420 158312787
1 796928852 920687803
1 380128608 57664831
1 694473631 444694772
1 519794826 21143164
1 365232125 948061749
1 44969086 674163236
1 956098584 321749365
1 736387132 303248441
1 709034010 347848867
1 231123193 482565906
1 951081397 897233336
1 307646892 273670446
1 315666819 127618843
1 23869171 382693586
1 801774365 754846208
1 263958192 437096820
1 948222224 87752959
1 586357945 115525532
1 47287584 779432054
1 147209714 45480432
1 228880167 438733570
1 127689273 530426536
1 990092577 782644683
1 389412781 123432789
1 106090289 648060213
1 3455708 98025887
1 766118987 997350744
1 25485203 980561068
1 51584334 541991797
1 670629523 276213605
1 717807487 420283741
1 468181638 141685836
1 335351801 53608257
1 800284704 487917545
1 736691551 124651280
1 33123657 96995782
1 953843376 73174155
1 376776357 343935674
1 764134387 647411827
1 899390094 704897203
1 42094701 401993353
1 77768445 29692670
1 291767754 35475377
1 647745293 853511386
1 27089278 22962182
1 355536400 993747424
1 577878054 475401844
1 391075691 509178817
1 75245612 578111379
1 201983047 704908669
1 657923576 328243429
1 338286963 992752110
1 861927402 282141330
1 56500008 200841060
1 26999468 99482668
1 230427022 873943213
1 431111658 83811028
1 526401873 751137518
1 830158497 65583098
1 704377781 192997934
1 761413479 221289080
1 265077148 270542558
1 763256963 932932188
1 374928084 492266068
1 945233013 240207563
1 143063150 73655988
1 599917397 168947292
1 527473281 430938951
1 943338667 968694115
1 896720792 146116498
1 57601522 179612613
1 104106086 97772253
1 95692499 986062737
1 156512060 623703423
1 543485831 911389504
1 366279787 21742738
1 427424585 185179458
1 983626094 474647252
1 452369045 667407513
1 415146625 194957272
1 732948272 695408312
1 465687951 386982789
1 553406205 346412278
1 790476534 998245174
1 763895076 127300566
1 51924853 822643689
1 603431604 457187294
1 209217335 677997784
1 35421517 476466000
1 643730899 955584485
1 161416322 445256271
1 402396468 651433273
1 832412100 287183073
1 460801555 865703803
1 931465286 128758819
1 162902709 657158816
1 247866785 926263962
1 21581038 373726479
1 205510797 659239381
1 379624203 170064584
1 474266823 690680144
1 287050934 9755154
1 431273037 441602812
1 582931673 512230497
1 277440851 554363698
1 728622188 794337100
1 681231849 228363986
1 617405707 889713823
1 768413691 909735226
1 217901765 608324798
1 169787260 401690535
1 56444067 260640673
1 345540818 501725216
1 668852173 469063213
1 461390762 824066195
1 232344487 681501341
1 332662260 154670679
1 320894002 934053997
1 657135041 753216144
1 235843761 364257343
1 457685972 41707850
1 724146424 939120619
1 49179828 931648748
1 678121711 288860726
1 263357591 287235470
1 859128284 836510407
1 801064491 708895772
1 34549838 858542576
1 17426647 624858715
2 893884348 866126071
1 665668214 288850406
1 94133373 197130750
1 782418876 864656929
1 185733665 331968564
1 685322330 50580027
1 348180356 121788864
1 166132278 456455246
1 956027143 475545547
1 888439980 556946269
1 727672421 71010082
1 262304095 908481021
1 462893545 666041381
1 454678363 32430915
1 82469169 370844577
1 866441148 189764129
1 712778130 791226522
1 647670800 601507535
1 514723625 688813837
1 513017521 931611320
1 949049156 308118623
1 640603717 291149208
1 111236022 671522373
1 359508028 25422516
1 124581897 844365632
1 325827779 897160381
1 271485545 602288587
1 505427251 63478603
1 70948902 584771829
1 51048397 562906735
1 831355633 858495027
1 271987448 447837720
1 599244243 947171318
1 656128806 228315097
1 844844039 924868087
1 48361669 858730895
1 463870405 697236803
1 46812522 799042452
1 650495976 839600333
1 561404927 282441749
1 24534487 620219941
1 740004200 172789623
1 75924783 48498719
1 98157501 258656989
1 781678729 516929604
1 887743488 381402038
1 13216802 736954151
1 276233370 942088423
1 159361622 271651723
1 1167689 883953356
1 887200765 204296234
1 910197352 953856061
1 318682301 62195867
1 975669465 684548341
1 400618731 630757150
1 94472714 605467643
1 493880793 423170874
1 966529670 690836360
1 946570162 238834336
1 930393048 287523929
1 722408618 442081166
1 622191768 872146111
1 120493813 855414548
1 265740413 326114109
1 245839925 866061225
1 3733306 54605335
1 586368488 292721733
1 644791574 809501456
1 44909487 26987912
1 846642542 294558372
1 571811896 246194325
1 229922610 986225317
1 737256221 877641735
1 297146371 32556700
1 274688536 393362080
1 24207801 424575633
1 426583484 81180480
1 141590101 292946631
1 902095622 79549712
1 659432381 64408947
1 527597261 160165742
1 250168913 608918543
1 656226901 876997762
1 68355687 536237420
1 621834596 518628670
1 563925598 52191375
1 366826253 970767281
1 188252226 711750351
1 891207697 622304232
1 492658034 554118253
1 100674778 616858588
1 564007954 288865020
1 723852725 90867398
1 482646354 584515537
1 33202870 842371517
1 610207055 515558960
1 856754409 593498928
1 546449280 532974388
1 596235792 776259242
1 542689577 413650408
1 881205383 17137300
1 152653006 189092255
1 99602423 566635857
1 670846924 635104918
1 327635070 414550582
1 352361216 168037464
1 729600964 271777578
1 24407335 837681346
1 905444257 732504757
1 159914908 980794937
1 671090865 233032589
1 999657448 478158055
1 173311968 866420844
1 903865749 119808212
1 61286487 42815027
1 41977652 582234457
1 405565489 19056623
1 390980389 54921750
1 722892683 135310680
1 816084499 747099882
1 645316 108407777
1 438296280 576668750
1 860331793 382028278
1 802659748 603092760
1 493698151 500990427
1 392601039 21393820
1 637956715 545638112
1 814096478 901190709
1 196216637 71114845
1 892159422 792582200
2 94453477 282151384
1 249235637 310239409
1 713411370 696672967
1 604480760 910483010
1 903013767 685448620
1 774351815 780053885
1 428900751 225297656
1 738906059 43686659
1 680528857 943574255
1 969666005 70632599
1 278304647 246818963
1 998171847 131982165
1 125512711 663192423
1 933569319 984019451
1 159757225 685121825
1 7404802 691434266
1 138965983 725025501
1 608316999 607137404
1 474902979 645135801
1 984999421 81317671
1 861065545 829296260
1 623068375 572894431
1 937256381 675444722
1 599565690 700258684
1 212406214 586395962
1 63152833 138699769
1 250311942 72344721
1 254505121 473122401
1 318953171 526762085
1 156597172 54180807
1 715676790 116881261
1 482816759 153545078
1 19472009 287014428
1 52175351 737796281
1 939164739 329941501
1 861876488 780934801
1 875236357 981953796
1 133424958 293320216
1 231543224 99575982
1 218976094 337219478
1 547421734 697139590
1 493862157 109955622
1 977002649 823556781
1 822584930 832682771
1 140507393 423226098
1 58468638 720845696
2 954258448 813859740
1 125353690 138010123
1 688883365 978374578
1 73661053 509210608
1 161827653 123066869
1 900804424 853221396
1 485899419 778709239
1 102809598 344061398
1 905232741 472522639
1 985988721 174108526
